id,area,screen,persona,story,expected,status
"UAT-ACCOUNT-APP-ENTRY-S1","Account & secure shell","App entry / redirect","Member","As a Member, I want /app to take me to my dashboard, so that I have one stable entry URL that always lands somewhere useful.","Opening /en/app redirects to /en/app/dashboard and the Dashboard heading is shown.",""
"UAT-ACCOUNT-APP-ENTRY-S2","Account & secure shell","App entry / redirect","Visitor","As a Visitor, I want /app to send me to sign in, so that I cannot reach the shell unauthenticated.","Opening /en/app while signed out lands on /en/sign-in with a returnTo pointing back into the shell.",""
"UAT-ACCOUNT-DASHBOARD-S1","Account & secure shell","Dashboard","Member","As a Member, I want a dashboard landing page after sign-in, so that I know I am inside the secure app.","The page shows the localized Dashboard heading and a welcome line naming the product, framed by the shell chrome.",""
"UAT-ACCOUNT-DASHBOARD-S2","Account & secure shell","Dashboard","Visitor","As a Visitor, I want to be blocked from the dashboard, so that unauthenticated users never see shell content.","Opening /en/app/dashboard while signed out redirects to /en/sign-in and never shows the Dashboard heading.",""
"UAT-ACCOUNT-WORKSPACE-S1","Account & secure shell","Workspace","Member","As a Member, I want to open the Workspace area, so that I can navigate the shell beyond the dashboard.","Opening /en/app/workspace shows the localized Workspace heading and a short description line.",""
"UAT-ACCOUNT-WORKSPACE-S2","Account & secure shell","Workspace","Visitor","As a Visitor, I want the Workspace URL to be protected, so that shell routes are not reachable while signed out.","Opening /en/app/workspace while signed out redirects to /en/sign-in.",""
"UAT-ACCOUNT-OVERVIEW-S1","Account & secure shell","Account overview","Member","As a Member, I want to see all my account information at a glance, so that I can confirm who I am, my status, and what I can do.","The overview shows display name, email, status badge, member-since, organizations with status badges, roles, and current permissions.",""
"UAT-ACCOUNT-OVERVIEW-S2","Account & secure shell","Account overview","Member","As a Member with no roles, I want clear empty messaging, so that a bare account does not look broken.","Empty areas show localized lines: No roles assigned; You have no permissions in the active organization; You are not a member of any organization.",""
"UAT-ACCOUNT-PROFILE-S1","Account & secure shell","Profile","Member","As a Member, I want to update my name and display name, so that I appear correctly across the app.","Saving valid values shows the success line and the changes persist on reload; the email field stays read-only.",""
"UAT-ACCOUNT-PROFILE-S2","Account & secure shell","Profile","Member","As a Member, I want the form to stop me submitting an empty name, so that I cannot blank out a required field.","Submitting an empty Name shows the inline required message, marks the field invalid, and does not save.",""
"UAT-ACCOUNT-PREFERENCES-S1","Account & secure shell","Preferences","Member","As a Member, I want to change my language in Preferences, so that the app renders in my language.","Choosing a different language and saving shows the success line and re-renders the UI in that language across shell pages.",""
"UAT-ACCOUNT-PREFERENCES-S2","Account & secure shell","Preferences","Member","As a Member, I want date/number/time-zone formatting to follow my choices, so that values display the way I expect.","Selecting a date format, time zone, and number format and saving persists all choices across reloads; System default stores as no override.",""
